timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_11_02_48_33_992,0.002068996,1.88032e-06,0.0001762551,3.101229e-05,0.008346641,1.809,-0.002186607
2024_02_11_02_48_34_031,0.02044988,1.234603e-06,0.002276634,0.0001323594,0.005449289,1.809,-0.002388295
2024_02_11_02_48_34_063,0.05020803,-1.162443e-06,6.283068,0.000240409,0.003945044,1.809,-0.002591467
2024_02_11_02_48_34_101,0.09563518,-9.583549e-06,6.282931,0.0003642172,0.002999424,1.809,-0.002840007
2024_02_11_02_48_34_139,0.1480519,-2.754602e-05,6.282758,0.0004877514,0.002619618,1.809,-0.003031252
2024_02_11_02_48_34_177,0.2075171,-6.071493e-05,6.282546,0.0006359329,0.002648953,1.809,-0.003256942
2024_02_11_02_48_34_209,0.2621013,-0.0001030239,6.282329,0.0007717567,0.002883682,1.809,-0.003486559
2024_02_11_02_48_34_243,0.3184528,-0.0001597723,6.282085,0.0009009088,0.003221786,1.809,-0.003690417
2024_02_11_02_48_34_280,0.3847744,-0.0002449758,6.281775,0.001051468,0.003670966,1.809,-0.00389155
2024_02_11_02_48_34_317,0.4502932,-0.0003502424,6.281446,0.001196226,0.004127558,1.809,-0.004138477
2024_02_11_02_48_34_351,0.5110216,-0.0004676759,6.281123,0.001324011,0.004539627,1.809,-0.004334632
2024_02_11_02_48_34_384,0.5702723,-0.0006017119,6.280792,0.001445869,0.004922992,1.809,-0.004530753
2024_02_11_02_48_34_422,0.6387419,-0.0007818812,6.280389,0.001586807,0.00533598,1.809,-0.004739534
2024_02_11_02_48_34_459,0.7055628,-0.0009852091,6.279975,0.001723836,0.005706227,1.809,-0.004982852
2024_02_11_02_48_34_497,0.7742845,-0.001223994,6.27953,0.001858818,0.006051722,1.809,-0.005189963
2024_02_11_02_48_34_534,0.8412524,-0.001486995,6.279075,0.00198714,0.006355938,1.809,-0.005430833
2024_02_11_02_48_34_571,0.9100591,-0.001789853,6.278588,0.002120841,0.006637041,1.809,-0.005638187
2024_02_11_02_48_34_604,0.9698253,-0.002080759,6.278148,0.002232944,0.006857277,1.809,-0.005836488
2024_02_11_02_48_34_638,1.029597,-0.00239855,6.277692,0.002344918,0.007056941,1.809,-0.006038427
2024_02_11_02_48_34_676,1.098423,-0.002799071,6.277149,0.002469666,0.00726375,1.809,-0.006286237
2024_02_11_02_48_34_709,1.158192,-0.003177911,6.27666,0.002583403,0.007424864,1.809,-0.006493701
2024_02_11_02_48_34_747,1.227012,-0.003651128,6.276078,0.002707411,0.00759145,1.809,-0.006686424
2024_02_11_02_48_34_780,1.286772,-0.004095186,6.275556,0.002816802,0.007721017,1.809,-0.006885846
2024_02_11_02_48_34_818,1.353771,-0.00463089,6.274952,0.00293411,0.007851323,1.809,-0.007134351
2024_02_11_02_48_34_851,1.415331,-0.00515942,6.274381,0.003043142,0.007958571,1.809,-0.007335701
2024_02_11_02_48_34_888,1.482319,-0.005775324,6.27374,0.003165314,0.008063259,1.809,-0.007539724
2024_02_11_02_48_34_922,1.543868,-0.006379757,6.273134,0.003270596,0.008149303,1.809,-0.007735622
2024_02_11_02_48_34_959,1.610844,-0.007080622,6.272456,0.003391025,0.008232988,1.809,-0.007987357
2024_02_11_02_48_34_993,1.670576,-0.007744685,6.271835,0.003495359,0.008299831,1.809,-0.008183993
2024_02_11_02_48_35_030,1.739354,-0.008556003,6.271101,0.003612515,0.008368977,1.809,-0.008385536
2024_02_11_02_48_35_063,1.799078,-0.009302163,6.270446,0.00371628,0.008422721,1.809,-0.008589017
2024_02_11_02_48_35_101,1.867849,-0.01021054,6.269674,0.003836647,0.008478105,1.809,-0.008839065
2024_02_11_02_48_35_138,1.934806,-0.01114688,6.268902,0.00395042,0.008525836,1.809,-0.00903851
2024_02_11_02_48_35_175,2.003569,-0.01216311,6.268089,0.004071846,0.008569907,1.809,-0.009285166
2024_02_11_02_48_35_213,2.07052,-0.0132071,6.267278,0.004187255,0.00860769,1.809,-0.009495171
2024_02_11_02_48_35_247,2.130226,-0.0141847,6.266538,0.00428815,0.008637936,1.809,-0.009690815
2024_02_11_02_48_35_284,2.198982,-0.01536592,6.265666,0.004405025,0.008669012,1.809,-0.00993874
2024_02_11_02_48_35_317,2.258688,-0.01644091,6.264894,0.004507669,0.008693458,1.809,-0.01013925
2024_02_11_02_48_35_351,2.3202,-0.01759733,6.264081,0.00461459,0.008715858,1.809,-0.01033807
2024_02_11_02_48_35_388,2.387139,-0.01891338,6.263177,0.004727819,0.008737948,1.809,-0.01053965
2024_02_11_02_48_35_425,2.45588,-0.02032872,6.26223,0.004845882,0.008757988,1.809,-0.01078878
2024_02_11_02_48_35_463,2.52281,-0.02177021,6.261288,0.004955918,0.008775352,1.809,-0.01098764
2024_02_11_02_48_35_501,2.591549,-0.02331709,6.2603,6.283097,0.008791168,1.809,-0.01123648
2024_02_11_02_48_35_538,2.658473,-0.02488931,6.259318,6.283095,0.008804843,1.809,-0.01144006
2024_02_11_02_48_35_571,2.718162,-0.02634761,6.258426,6.283093,0.008815905,1.809,-0.01163543
2024_02_11_02_48_35_605,2.77966,-0.02790642,6.257491,6.283091,0.008826113,1.809,-0.01183831
2024_02_11_02_48_35_642,2.846579,-0.02966879,6.256455,6.283089,0.008835972,1.809,-0.01208829
2024_02_11_02_48_35_675,2.90807,-0.03135007,6.255486,6.283087,0.008844283,1.809,-0.0122825
2024_02_11_02_48_35_713,2.974986,-0.03324816,6.254412,6.283085,0.0088521,1.809,-0.01248712
2024_02_11_02_48_35_746,3.034665,-0.03500235,6.253438,6.283083,0.008858648,1.809,-0.01271319
2024_02_11_02_48_35_785,3.103383,-0.03709504,6.252298,6.283082,0.008864914,1.809,-0.01291464
2024_02_11_02_48_35_822,3.170291,-0.03920879,6.251168,6.28308,0.008870733,1.809,-0.01316209
2024_02_11_02_48_35_855,3.231771,-0.04121852,6.250113,6.283078,0.008875273,1.809,-0.01335945
2024_02_11_02_48_35_892,3.298673,-0.04347999,6.248945,6.283076,0.008879944,1.809,-0.01356398
2024_02_11_02_48_35_930,3.367379,-0.04588477,6.247726,6.283073,0.008884165,1.809,-0.01380842
2024_02_11_02_48_35_967,3.434272,-0.04830748,6.24652,6.283072,0.008887922,1.809,-0.01400841
2024_02_11_02_48_36_005,3.502971,-0.05088046,6.24526,6.28307,0.008891292,1.809,-0.01426383
2024_02_11_02_48_36_042,3.569855,-0.05346964,6.244014,6.283068,0.008893985,1.809,-0.01445754
2024_02_11_02_48_36_080,3.638548,-0.05621646,6.242714,6.283066,0.008896409,1.809,-0.01470947
