timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_11_22_07_32_768,0.01764295,2.029004e-06,-2.746725e-05,-1.352321e-06,0.00445879,3.561,0.0
2024_02_11_22_07_32_805,0.06715125,1.967561e-06,-1.80447e-05,-2.894159e-06,0.0008501413,3.561,0.0
2024_02_11_22_07_32_842,0.1383622,1.832351e-06,-0.0001606218,-6.702114e-06,6.281868,3.561,0.0
2024_02_11_22_07_32_881,0.2296503,2.0144e-06,-0.0002138277,-3.364729e-06,6.280579,3.561,0.0
2024_02_11_22_07_32_917,0.3323082,2.438421e-06,-0.0002457398,-4.486881e-06,6.279969,3.561,0.0
2024_02_11_22_07_32_950,0.4329742,3.159539e-06,-0.0001734059,-1.731105e-06,6.279805,3.561,0.0
2024_02_11_22_07_32_988,0.5574051,3.241238e-06,-0.0002328389,-3.898181e-07,6.279934,3.561,0.0
2024_02_11_22_07_33_026,0.6853521,3.29853e-06,-0.000425003,-5.238136e-06,6.280347,3.561,0.0
2024_02_11_22_07_33_063,0.8212152,4.149061e-06,-0.0004829421,-6.273524e-06,6.281156,3.561,0.0
2024_02_11_22_07_33_096,0.9405742,5.128025e-06,-0.0004827196,-5.003112e-06,6.282082,3.561,0.0
2024_02_11_22_07_33_130,1.063712,6.159969e-06,-0.0004830203,-7.645481e-06,6.283056,3.561,0.0
2024_02_11_22_07_33_167,1.197512,7.270312e-06,-0.0004851479,-2.379192e-06,0.0008465978,3.561,0.0
2024_02_11_22_07_33_206,1.331076,8.373932e-06,-0.0004901814,-5.062071e-06,0.001712326,3.561,0.0
2024_02_11_22_07_33_238,1.453631,9.428601e-06,-0.0004887302,-3.018382e-06,0.002422277,3.561,0.0
2024_02_11_22_07_33_276,1.58683,1.057255e-05,-0.0004813297,-4.353714e-06,0.00311107,3.561,0.0
2024_02_11_22_07_33_309,1.709086,1.161279e-05,-0.0004705784,7.062762e-08,0.003676599,3.561,0.0
2024_02_11_22_07_33_343,1.827631,1.261832e-05,-0.0004661045,-6.621218e-07,0.004169262,3.561,0.0
2024_02_11_22_07_33_380,1.960428,1.370638e-05,-0.000471905,-1.235055e-06,0.004661002,3.561,0.0
2024_02_11_22_07_33_413,2.082361,1.471919e-05,-0.0004731922,-2.309419e-06,0.005065272,3.561,0.0
