timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_11_02_29_33_374,0.004815578,4.125297e-06,2.090468e-05,5.769088e-06,0.007660527,1.223,-0.0003354946
2024_02_11_02_29_33_411,0.02260715,4.125285e-06,0.0004959124,2.697142e-05,0.006135353,1.223,-0.0005313978
2024_02_11_02_29_33_446,0.045874,3.710617e-06,0.001468803,5.321043e-05,0.005374341,1.223,-0.0007379113
2024_02_11_02_29_33_483,0.07802716,2.274646e-06,0.003346489,9.143178e-05,0.004958854,1.223,-0.0009839755
2024_02_11_02_29_33_516,0.1114866,-7.294257e-07,6.283082,0.0001308207,0.004858254,1.223,-0.001184848
2024_02_11_02_29_33_549,0.1464106,-5.775633e-06,6.283026,0.0001732734,0.004923531,1.223,-0.001387197
2024_02_11_02_29_33_590,0.1886681,-1.499311e-05,6.282944,0.0002240341,0.005116977,1.223,-0.001582395
2024_02_11_02_29_33_621,0.2265774,-2.660579e-05,6.282859,0.0002703279,0.005343028,1.223,-0.001814371
2024_02_11_02_29_33_658,0.2699856,-4.427726e-05,6.282748,0.0003192571,0.005626199,1.223,-0.002009372
2024_02_11_02_29_33_695,0.3152369,-6.837498e-05,6.282617,0.0003748484,0.005926917,1.223,-0.002261837
2024_02_11_02_29_33_728,0.3549035,-9.478112e-05,6.282491,0.0004232028,0.006183619,1.223,-0.002460307
2024_02_11_02_29_33_766,0.4008633,-0.0001321528,6.282331,0.0004792797,0.006466295,1.223,-0.00265893
2024_02_11_02_29_33_799,0.4409396,-0.0001711194,6.282179,0.0005256246,0.006696997,1.223,-0.002860211
2024_02_11_02_29_33_837,0.4872119,-0.0002241867,6.28199,0.0005825497,0.00694223,1.223,-0.003109937
2024_02_11_02_29_33_870,0.5274712,-0.0002779024,6.281814,0.0006317667,0.007137816,1.223,-0.00331152
2024_02_11_02_29_33_908,0.5726646,-0.0003471579,6.281602,0.0006871052,0.0073378,1.223,-0.00350987
2024_02_11_02_29_33_945,0.6191133,-0.0004288717,6.28137,0.0007419792,0.007523529,1.223,-0.003759745
2024_02_11_02_29_33_983,0.6643641,-0.0005193311,6.28113,0.0007964169,0.007685414,1.223,-0.003954968
2024_02_11_02_29_34_020,0.7108527,-0.0006241013,6.280868,0.0008527297,0.007834773,1.223,-0.004214182
2024_02_11_02_29_34_058,0.756121,-0.0007383592,6.280599,0.0009074257,0.007964814,1.223,-0.004409173
2024_02_11_02_29_34_095,0.8026203,-0.0008688757,6.280308,0.0009637523,0.008083675,1.223,-0.004662155
2024_02_11_02_29_34_128,0.8430023,-0.0009936497,6.280043,0.001014315,0.008176615,1.223,-0.004860544
2024_02_11_02_29_34_165,0.8895032,-0.001151109,6.279724,0.001069294,0.008272066,1.223,-0.005059277
2024_02_11_02_29_34_199,0.9298829,-0.00130028,6.279436,0.00111908,0.008347084,1.223,-0.005260594
2024_02_11_02_29_34_237,0.97638,-0.001486995,6.279089,0.001176673,0.008423571,1.223,-0.005510154
2024_02_11_02_29_34_274,1.021654,-0.001684803,6.278738,0.001231776,0.008490277,1.223,-0.005711622
2024_02_11_02_29_34_308,1.062031,-0.001875059,6.278412,0.001279623,0.008543079,1.223,-0.005910002
2024_02_11_02_29_34_345,1.108524,-0.002110874,6.278023,0.001336472,0.008598,1.223,-0.00615978
2024_02_11_02_29_34_378,1.148897,-0.002330761,6.277674,0.001389343,0.008640596,1.223,-0.006361081
2024_02_11_02_29_34_415,1.195386,-0.002601892,6.277257,0.001443987,0.00868424,1.223,-0.006559709
2024_02_11_02_29_34_453,1.240649,-0.00288502,6.276838,0.001500634,0.008722219,1.223,-0.006812209
2024_02_11_02_29_34_491,1.287137,-0.00319606,6.276392,0.001555347,0.008756818,1.223,-0.007007906
2024_02_11_02_29_34_529,1.332398,-0.003519293,6.275944,0.001612613,0.008786767,1.223,-0.007257644
2024_02_11_02_29_34_561,1.373989,-0.003834675,6.27552,0.00166575,0.008811571,1.223,-0.007456442
2024_02_11_02_29_34_599,1.419248,-0.004198411,6.275045,0.001721435,0.008835487,1.223,-0.007663801
2024_02_11_02_29_34_637,1.464505,-0.004584169,6.274556,0.001777464,0.008856868,1.223,-0.007907558
