timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_11_03_11_29_800,0.01774421,1.791108e-06,0.001156088,9.73943e-05,0.00445929,3.561,-0.002464988
2024_02_11_03_11_29_838,0.06723139,-4.968024e-07,6.283069,0.0002974766,0.0008533779,3.561,-0.002685064
2024_02_11_03_11_29_876,0.1384243,-1.249618e-05,6.282885,0.0005499044,6.281871,3.561,-0.002919113
2024_02_11_03_11_29_909,0.2193348,-4.197368e-05,6.282644,0.0008171977,6.280679,3.561,-0.003120546
2024_02_11_03_11_29_946,0.3207673,-0.0001054734,6.28231,0.001160722,6.279993,3.561,-0.003316547
2024_02_11_03_11_29_979,0.4236587,-0.0002019354,6.281932,0.001537475,6.279813,3.561,-0.003521316
2024_02_11_03_11_30_016,0.5439708,-0.0003610106,6.281448,0.002005279,6.279928,3.561,-0.00377081
2024_02_11_03_11_30_055,0.6746814,-0.0006033753,6.280916,0.002499521,6.280316,3.561,-0.003971497
2024_02_11_03_11_30_092,0.8066297,-0.0009282832,6.280393,0.003018438,6.281055,3.561,-0.004221572
2024_02_11_03_11_30_129,0.9440077,-0.001346309,6.279797,0.00357087,6.282107,3.561,-0.004421643
2024_02_11_03_11_30_167,1.078003,-0.001835638,6.279156,0.004079514,-0.001344318,3.561,-0.004671206
2024_02_11_03_11_30_204,1.215405,-0.002428344,6.278451,0.004580014,0.0009633442,3.561,-0.004871589
2024_02_11_03_11_30_242,1.34895,-0.003098847,6.27773,6.283097,0.001818379,3.561,-0.005123515
2024_02_11_03_11_30_275,1.467878,-0.003778563,6.27706,6.28309,0.002499059,3.561,-0.005318775
2024_02_11_03_11_30_313,1.60466,-0.004660792,6.276256,6.283082,0.003195104,3.561,-0.005519978
2024_02_11_03_11_30_351,1.737676,-0.00562616,6.275441,6.283074,0.003797676,3.561,-0.005766006
2024_02_11_03_11_30_383,1.859783,-0.00660944,6.274663,6.283067,0.004293391,3.561,-0.005971445
2024_02_11_03_11_30_420,1.992543,-0.007788083,6.273786,6.28306,0.004772415,3.561,-0.006169998
2024_02_11_03_11_30_459,2.128776,-0.009120709,6.272851,6.283052,0.005209352,3.561,-0.006420603
2024_02_11_03_11_30_495,2.261321,-0.01054149,6.271908,6.283045,0.005586226,3.561,-0.006619158
2024_02_11_03_11_30_529,2.379463,-0.01191469,6.271039,6.283039,0.005886573,3.561,-0.006820397
2024_02_11_03_11_30_566,2.515425,-0.01362385,6.270007,6.283031,0.006195968,3.561,-0.007070163
2024_02_11_03_11_30_604,2.647735,-0.0154237,6.268969,6.283024,0.006463365,3.561,-0.007266891
2024_02_11_03_11_30_637,2.769259,-0.01719952,6.267986,6.283018,0.00668179,3.561,-0.007467536
2024_02_11_03_11_30_675,2.901457,-0.01926862,6.266886,6.283011,0.006892449,3.561,-0.007719791
2024_02_11_03_11_30_712,3.037175,-0.02154616,6.265721,6.283004,0.007087359,3.561,-0.007919538
2024_02_11_03_11_30_750,3.169268,-0.0239166,6.264555,6.282997,0.007255049,3.561,-0.008170075
2024_02_11_03_11_30_784,3.290618,-0.0262316,6.263454,6.282991,0.007392283,3.561,-0.008370823
2024_02_11_03_11_30_820,3.422625,-0.02890335,6.262224,6.282984,0.007527111,3.561,-0.008573964
2024_02_11_03_11_30_858,3.558159,-0.03181746,6.260927,6.282977,0.007648235,3.561,-0.008819636
2024_02_11_03_11_30_895,3.690091,-0.0348249,6.259631,6.28297,0.007753202,3.561,-0.009029459
2024_02_11_03_11_30_933,3.825561,-0.03809291,6.258265,6.282964,0.007848041,3.561,-0.009266517
2024_02_11_03_11_30_970,3.957441,-0.04145402,6.256903,6.282957,0.007930154,3.561,-0.009470611
2024_02_11_03_11_31_008,4.092856,-0.04509433,6.255469,6.28295,0.008004305,3.561,-0.009714783
2024_02_11_03_11_31_041,4.210439,-0.04841426,6.254196,6.282945,0.008061778,3.561,-0.009919193
2024_02_11_03_11_31_078,4.342255,-0.05231576,6.252738,6.282938,0.008120971,3.561,-0.01012045
2024_02_11_03_11_31_112,4.463358,-0.05607134,6.251369,6.282932,0.008169244,3.561,-0.01031979
2024_02_11_03_11_31_150,4.595126,-0.06034783,6.249847,6.282925,0.008215472,3.561,-0.01056593
2024_02_11_03_11_31_183,4.716196,-0.06445541,6.24842,6.282919,0.008253412,3.561,-0.01077066
2024_02_11_03_11_31_220,4.84793,-0.06912313,6.246836,6.282913,0.008290015,3.561,-0.01096965
2024_02_11_03_11_31_259,4.983213,-0.0741359,6.245174,6.282906,0.008324292,3.561,-0.01121395
2024_02_11_03_11_31_295,5.114914,-0.07923421,6.243523,6.282899,0.008352307,3.561,-0.01141813
2024_02_11_03_11_31_334,5.25016,-0.08469822,6.241792,6.282892,0.008379444,3.561,-0.01167032
2024_02_11_03_11_31_370,5.381825,-0.09024464,6.240074,6.282886,0.008403287,3.561,-0.01186683
2024_02_11_03_11_31_409,5.517023,-0.09617785,6.238275,6.282879,0.008423744,3.561,-0.01211948
2024_02_11_03_11_31_442,5.634424,-0.1015293,6.236684,6.282873,0.008438296,3.561,-0.01231854
2024_02_11_03_11_31_478,5.766047,-0.1077527,6.234869,6.282867,0.008455359,3.561,-0.0125147
2024_02_11_03_11_31_512,5.886987,-0.1136836,6.233173,6.282861,0.008467343,3.561,-0.01271989
2024_02_11_03_11_31_550,6.018578,-0.120372,6.231295,6.282854,0.008482282,3.561,-0.01296673
2024_02_11_03_11_31_587,6.153698,-0.1274998,6.229331,6.282847,0.008494115,3.561,-0.01316849
2024_02_11_03_11_31_625,6.285248,-0.1346968,6.227386,6.282841,0.008502251,3.561,-0.01341574
2024_02_11_03_11_31_663,6.42035,-0.1423573,6.225355,6.282834,0.008510342,3.561,-0.01361634
2024_02_11_03_11_31_696,6.537657,-0.1492335,6.223562,6.282828,0.008519738,3.561,-0.01382133
2024_02_11_03_11_31_733,6.669158,-0.1571947,6.22152,6.282822,0.008524734,3.561,-0.0140667
