timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_11_03_09_08_328,0.00595817,1.721042e-06,0.0001419431,2.038479e-05,0.006617022,3.561,-0.001359177
2024_02_11_03_09_08_361,0.03642434,1.663461e-06,0.001797704,0.0001069571,0.002630373,3.561,-0.001559817
2024_02_11_03_09_08_399,0.09547266,-1.697488e-06,6.283074,0.0002467109,6.282973,3.561,-0.001776644
2024_02_11_03_09_08_432,0.1676705,-1.225126e-05,6.282948,0.0004137715,6.281346,3.561,-0.001984327
2024_02_11_03_09_08_469,0.2614253,-3.870212e-05,6.282752,0.0006406542,6.280337,3.561,-0.002184634
2024_02_11_03_09_08_506,0.370805,-9.185806e-05,6.282486,0.0009241371,6.27987,3.561,-0.002437905
2024_02_11_03_09_08_545,0.4873198,-0.0001792501,6.282169,0.001249375,6.279839,3.561,-0.002636337
2024_02_11_03_09_08_581,0.6149902,-0.0003173009,6.281792,0.001621339,6.280104,3.561,-0.002881886
2024_02_11_03_09_08_619,0.745171,-0.0005141468,6.281415,0.002003769,6.280659,3.561,-0.003087712
2024_02_11_03_09_08_657,0.8820027,-0.0007807029,6.280992,0.002440226,6.281616,3.561,-0.003342784
2024_02_11_03_09_08_694,1.015994,-0.001101235,6.280521,0.002866512,6.282681,3.561,-0.003537036
2024_02_11_03_09_08_731,1.153494,-0.001497636,6.279989,0.003293654,0.0005360848,3.561,-0.003787934
2024_02_11_03_09_08_769,1.28713,-0.001954699,6.279434,0.003697172,0.001438307,3.561,-0.003983544
2024_02_11_03_09_08_806,1.424151,-0.002502232,6.27883,0.004107226,0.002256727,3.561,-0.004238649
2024_02_11_03_09_08_844,1.557389,-0.003116004,6.278208,0.004507565,0.002963047,3.561,-0.00443631
2024_02_11_03_09_08_877,1.679676,-0.003753725,6.277608,0.004871092,0.003542891,3.561,-0.004636548
2024_02_11_03_09_08_912,1.798254,-0.004443517,6.277,6.283094,0.00404846,3.561,-0.004835967
2024_02_11_03_09_08_944,1.916724,-0.005206061,6.276366,6.283088,0.004503526,3.561,-0.005035984
2024_02_11_03_09_08_982,2.053027,-0.006178039,6.275604,6.283081,0.004972709,3.561,-0.00528724
2024_02_11_03_09_09_019,2.185633,-0.007225275,6.274829,6.283074,0.005375151,3.561,-0.005481256
2024_02_11_03_09_09_056,2.321725,-0.008408865,6.274,6.283068,0.005743049,3.561,-0.005737946
2024_02_11_03_09_09_090,2.439837,-0.009529084,6.273252,6.283062,0.006028191,3.561,-0.005936645
2024_02_11_03_09_09_127,2.575771,-0.01092944,6.272358,6.283055,0.006321239,3.561,-0.006136126
2024_02_11_03_09_09_166,2.708057,-0.01241083,6.271455,6.283048,0.006575323,3.561,-0.006381503
2024_02_11_03_09_09_202,2.843855,-0.01405775,6.270494,6.283041,0.006804246,3.561,-0.00658584
2024_02_11_03_09_09_236,2.961742,-0.01559481,6.269631,6.283035,0.006981927,3.561,-0.006787226
2024_02_11_03_09_09_273,3.093869,-0.01744014,6.268632,6.283029,0.007161164,3.561,-0.007037167
2024_02_11_03_09_09_310,3.229524,-0.01947391,6.267573,6.283022,0.007324059,3.561,-0.007234555
2024_02_11_03_09_09_348,3.361571,-0.02159351,6.266509,6.283016,0.007464471,3.561,-0.00748578
2024_02_11_03_09_09_385,3.497152,-0.02391809,6.265382,6.283009,0.007592919,3.561,-0.007687786
2024_02_11_03_09_09_424,3.629131,-0.02632967,6.264251,6.283002,0.007703475,3.561,-0.007934674
2024_02_11_03_09_09_457,3.750382,-0.02867827,6.263183,6.282996,0.00779439,3.561,-0.008138435
2024_02_11_03_09_09_494,3.882308,-0.03138244,6.261989,6.28299,0.007881858,3.561,-0.008336064
2024_02_11_03_09_09_532,4.017773,-0.03432515,6.260729,6.282983,0.007961765,3.561,-0.008580927
2024_02_11_03_09_09_564,4.135398,-0.03702018,6.259606,6.282977,0.008023898,3.561,-0.008785784
2024_02_11_03_09_09_602,4.267254,-0.04020013,6.258317,6.282971,0.008087382,3.561,-0.008987167
2024_02_11_03_09_09_636,4.388409,-0.04327335,6.257103,6.282965,0.008136987,3.561,-0.009185183
2024_02_11_03_09_09_673,4.520243,-0.04678632,6.25575,6.282958,0.008186373,3.561,-0.009436724
2024_02_11_03_09_09_710,4.655613,-0.05058135,6.254326,6.282951,0.008232733,3.561,-0.009635826
2024_02_11_03_09_09_748,4.787408,-0.0544633,6.252907,6.282945,0.008271446,3.561,-0.009886665
2024_02_11_03_09_09_785,4.922746,-0.05864632,6.251414,6.282938,0.008308924,3.561,-0.010083
2024_02_11_03_09_09_823,5.054489,-0.0629142,6.249927,6.282932,0.008342182,3.561,-0.01033155
2024_02_11_03_09_09_860,5.189768,-0.06750269,6.248366,6.282925,0.008369851,3.561,-0.0105332
2024_02_11_03_09_09_893,5.307242,-0.07166005,6.246982,6.282919,0.008390645,3.561,-0.0107365
2024_02_11_03_09_09_932,5.442499,-0.07665033,6.245357,6.282912,0.008413004,3.561,-0.01098262
2024_02_11_03_09_09_968,5.574176,-0.08172195,6.24374,6.282906,0.008431807,3.561,-0.01118715
2024_02_11_03_09_10_007,5.709399,-0.0871537,6.242045,6.282899,0.008450136,3.561,-0.01143461
2024_02_11_03_09_10_044,5.841047,-0.09266414,6.240362,6.282893,0.008465027,3.561,-0.01163611
2024_02_11_03_09_10_077,5.958465,-0.09776752,6.238833,6.282887,0.008475496,3.561,-0.01183454
2024_02_11_03_09_10_115,6.093644,-0.1038676,6.23704,6.28288,0.008489935,3.561,-0.01208785
2024_02_11_03_09_10_148,6.21102,-0.1093628,6.235454,6.282874,0.008499153,3.561,-0.01228291
2024_02_11_03_09_10_185,6.346171,-0.1159228,6.233595,6.282867,0.008507454,3.561,-0.01248146
2024_02_11_03_09_10_218,6.463542,-0.1218257,6.231954,6.282862,0.008512762,3.561,-0.01268565
